SHOW,SEASON,CONTESTANT,ELIMINATION-1,ELIMINATION-2,ELIMINATION-3,ELIMINATION-4,ELIMINATION-5,ELIMINATION-6,ELIMINATION-7,ELIMINATION-8,ELIMINATION-9,ELIMINATION-10,DATES-1,DATES-2,DATES-3,DATES-4,DATES-5,DATES-6,DATES-7,DATES-8,DATES-9,DATES-10
Bachelor,SEASON,ID,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10
Bachelor,13,13_MELISSA_R,,R,,,,,,W,,,,D1,D8,D6,D1,D1,D1,D1,,
Bachelor,13,13_MOLLY_M,,R,,R,,,,E,,,,D8,,D1,D3,D1,D1,D1,,
Bachelor,13,13_JILLIAN_H,,R,R,,,,E,,,,,D1,D8,D6,D3,D1,D1,,,
Bachelor,13,13_NAOMI_C,,,,R,,E,,,,,,D8,D8,D6,D1,D1,,,,
Bachelor,13,13_STEPHANIE_H,,,R,R,E,,,,,,,,D1,D2,D3,,,,,
Bachelor,13,13_LAUREN_W,,,,E,,,,,,,,D8,,D6,,,,,,
Bachelor,13,13_MEGAN_P,R,,,E,,,,,,,,,D8,D6,,,,,,
Bachelor,13,13_SHANNON_B,,,,E,,,,,,,,,D8,D6,,,,,,
Bachelor,13,13_NIKKI_K,R1,,,ED,,,,,,,,D8,D8,D2,,,,,,
Bachelor,13,13_ERICA_D,,,E,,,,,,,,,D8,D8,,,,,,,
Bachelor,13,13_KARI_F,,,E,,,,,,,,,D8,,,,,,,,
Bachelor,13,13_NATALIE_G,,,ED,,,,,,,,,D8,D1,,,,,,,
Bachelor,13,13_RAQUEL_M,,E,,,,,,,,,,,,,,,,,,
Bachelor,13,13_SHARON_S,,E,,,,,,,,,,D8,,,,,,,,
Bachelor,13,13_LISA_G,,EQ,,,,,,,,,,,,,,,,,,
Bachelor,13,13_ANN_L,E,,,,,,,,,,,,,,,,,,,
Bachelor,13,13_DOMINIQUE_C,E,,,,,,,,,,,,,,,,,,,
Bachelor,13,13_EMILY_H,E,,,,,,,,,,,,,,,,,,,
Bachelor,13,13_JACKIE_H,E,,,,,,,,,,,,,,,,,,,
Bachelor,13,13_JULIE_D,E,,,,,,,,,,,,,,,,,,,
Bachelor,13,13_NICOLE_M,E,,,,,,,,,,,,,,,,,,,
Bachelor,13,13_RENEE_S,E,,,,,,,,,,,,,,,,,,,
Bachelor,13,13_SHELBY_G,E,,,,,,,,,,,,,,,,,,,
Bachelor,13,13_STACIA_M,E,,,,,,,,,,,,,,,,,,,
Bachelor,13,13_TREASURE_M,E,,,,,,,,,,,,,,,,,,,